method,metric_impl,pnr_at_10_t0_05,pnr_at_10_t0_10,pnr_at_10_t0_15,pnr_at_1_t0_05,pnr_at_1_t0_10,pnr_at_1_t0_15,pnr_at_5_t0_05,pnr_at_5_t0_10,pnr_at_5_t0_15,query_idx,query_name,skip_reason,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall,topk_names,topk_scores
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,1,1,1,1,1,934,Memphis Soul Memphis,,ok,0.8717948717948718,0.9912550362678915,1.0,1.0,Memphis Soul Motown,0.055520356656923286,0.7916666666666666,1.0,1.0,1.0,1.0,"[""Memphis Soul Motown"", ""Bluegrass Flatpick Honky"", ""Indie Pop Jangle Charm"", ""Indie Pop Jangle Sparkle"", ""Dream Pop Sparkle"", ""K-Pop Shimmer Moonrise"", ""Punk Funk"", ""Gypsy Jazz"", ""C86 Indie"", ""Modern R&B Soulful""]","[0.9421517893560688, 0.9392350108505216, 0.9358653406942811, 0.9343909226550469, 0.9338745393319824, 0.9311062473508795, 0.9273439924367992, 0.927080119512415, 0.9253872718685712, 0.9253327779328597]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,1,1,0,1,1,853,Acid Jazz Funk Crescendo,,ok,0.8461538461538461,0.9764490244503081,1.0,1.0,Dream Pop Sparkle,0.08553201904538475,0.75,1.0,1.0,1.0,1.0,"[""Dream Pop Sparkle"", ""Schlager Pop"", ""Persian Classical Fusion"", ""Contemporary Jazz Smoky"", ""Hyperpop Glitch Synth"", ""Indie Pop Jangle Charm"", ""Complex Jazz Fusion Improv"", ""Western Swing Twang"", ""Memphis Soul Motown"", ""Gypsy Jazz Manouche Nocturne""]","[0.9254934166343719, 0.9041824784353758, 0.8821527060902581, 0.8798508896944468, 0.8794094925392772, 0.8776926206608859, 0.8762633684643393, 0.8717516198872539, 0.8703515981234886, 0.8703054424829724]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,379,Hollow Body Jazz,,ok,0.5833333333333334,0.7318116260028245,0.3333333333333333,0.3333333333333333,Old Time Radio,0.28950764393877015,0.5454545454545454,0.3333333333333333,0.5,0.3333333333333333,1.0,"[""Old Time Radio"", ""Mexican Mariachi"", ""Chicago Soul Philly"", ""Chicago Soul Sweet"", ""Pastoral Folk"", ""Post-Dubstep"", ""Bossa Nova Acoustic Tropical"", ""Pacific Islander"", ""Russian Chanson"", ""Peruvian Cumbia""]","[0.8978753848350522, 0.8829988374551467, 0.8828072777125009, 0.87585772454937, 0.870949230067331, 0.8709366803007859, 0.8700323890336615, 0.8694087763153977, 0.8689629083648152, 0.8688435728685131]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,1,1,0,1,1,996,Americana Alt Honky,,ok,0.8717948717948718,0.9903490927170563,1.0,1.0,Free Jazz Avantgarde Groove,0.0587852732723401,0.7916666666666666,1.0,1.0,1.0,1.0,"[""Free Jazz Avantgarde Groove"", ""Britpop Shimmer"", ""Nu Metal 7-String Wrath"", ""Trap Metal Wave"", ""Power Metal Epic Mayhem"", ""Techno Industrial Neon"", ""Distorted Cassette"", ""Post-Metal Swell"", ""Post-Metal Swell Venom"", ""Synthwave Guitar Neon""]","[0.9204710335729476, 0.8857700288281959, 0.8788670073570779, 0.869325490671822, 0.8671713868605596, 0.8637395368742891, 0.8635263965244574, 0.8627470405453341, 0.8610592571417337, 0.8610394877151609]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,962,Bluegrass Flatpick Sunrise,,ok,0.5471698113207547,0.737668054077856,0.5555555555555556,0.5555555555555556,Sierreño Accordion,0.3092157659799336,0.5384615384615384,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,"[""Sierreño Accordion"", ""Polynesian Ukulele"", ""Serbian Turbofolk"", ""Jittery Synth"", ""Latin Jazz Crescendo"", ""Indian Classical Sitar Sahara"", ""Shoegaze Wall Glitch"", ""Flamenco Guitar"", ""Swedish Pop"", ""Japanese Enka Voyage""]","[0.8928222044064684, 0.8911874158392833, 0.891031695108788, 0.8890703759664271, 0.8765701996629253, 0.876527792489727, 0.8763829601971949, 0.8747582985181266, 0.8707999492797776, 0.8704428354467599]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,1,1,1,1,1,122,Futurebass Vocal Chop,,ok,0.7948717948717948,0.981973744505623,1.0,1.0,Hip Hop Scratch,0.09931948063129778,0.7647058823529411,1.0,1.0,1.0,1.0,"[""Hip Hop Scratch"", ""Classic House"", ""Hip House"", ""Futuristic R&B"", ""Rhodes Soul"", ""Reggae Skank Heritage"", ""Microtonal Fusion Prism"", ""Complex Jazz Fusion Velvet"", ""Chamber Pop Radio"", ""Chicago Soul Groove""]","[0.8603521234036304, 0.8162593485080413, 0.7982310604797174, 0.7958333544061285, 0.7810742571195366, 0.7766855027241796, 0.7647835522467037, 0.7630132504806763, 0.7611437962157968, 0.7593699804458385]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,1,1,1,1,1,1,991,Western Swing Outlaw,,ok,1.0,1.0,1.0,1.0,Britpop Charm,0.0,1.0,1.0,1.0,1.0,1.0,"[""Britpop Charm"", ""K-Pop Shimmer Andean"", ""Bluegrass Flatpick Twang"", ""Motown Soul Soulful"", ""Chamber Pop Hazy"", ""Scottish Folk"", ""Desert Rock Fuzz"", ""Southern Soul Gospel Groove"", ""K-Pop Shimmer Heritage"", ""Memphis Soul Gospel""]","[0.9015758660674569, 0.8937676812140769, 0.8924364170654855, 0.891382032470327, 0.8911091265794203, 0.8846341170029264, 0.8832863771964469, 0.8824465698405288, 0.8819491059249367, 0.8808705542205229]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,850,Acid Jazz Funk Smoky,,ok,0.5283018867924528,0.741825963735767,0.5555555555555556,0.5555555555555556,West Coast Hip Hop,0.3037305675272164,0.5,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,"[""West Coast Hip Hop"", ""Island Reggae"", ""Fender Rhodes Jazz"", ""Hyperpop Glitch Neon"", ""Complex Jazz Fusion Vibe"", ""Bossa Nova Guitar"", ""Jazz Organ Trio"", ""Hyperpop Glitch Digital"", ""Chicago Soul Philly"", ""Nigerian Afrobeat""]","[0.8851723506829181, 0.8812016362188397, 0.8675430927122262, 0.8620251043322396, 0.8558107613557895, 0.8495078107868131, 0.8439688909081117, 0.8433480577157506, 0.8428200226434167, 0.8395299165738939]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,620,Dubstep Wobble Digital,,ok,0.625,0.850597853098703,0.6666666666666666,0.6666666666666666,Tibetan Singing Bowl,0.21751257491172007,0.42857142857142855,0.7777777777777778,0.8,1.0,0.6666666666666666,"[""Tibetan Singing Bowl"", ""Deathcore Breakdown Mayhem"", ""Post-Metal Swell Rage"", ""Irish Reel"", ""Digital Hardcore"", ""Celtic Folk Andean"", ""Overtone Drone Void"", ""Slavic Folk Metal"", ""Mathcore Dissonant Doom"", ""Granular Texture Void""]","[0.8047397886785665, 0.7835813163574805, 0.7685769827952613, 0.724714156541669, 0.704150215179558, 0.6643321847058812, 0.6631874301413576, 0.6428185521648125, 0.6403923962530627, 0.6217118284945893]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,0,0,1,1,1,987,Western Swing Dusty,,ok,0.5849056603773585,0.7938195111549922,0.5555555555555556,0.5555555555555556,Desert Rock Fuzz,0.250280174386391,0.6153846153846154,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,"[""Desert Rock Fuzz"", ""Motown Soul Soulful"", ""Bluegrass Flatpick Dusty"", ""Indie Pop Jangle Dream"", ""Teen Pop Bubble"", ""Funeral Doom Doom"", ""Power Pop Radio"", ""Deathcore Breakdown Rage"", ""Power Metal Epic Mayhem"", ""Memphis Soul Gospel""]","[0.9039157995556651, 0.8561127867474729, 0.848158372316816, 0.846677470060633, 0.8396555194620681, 0.836626493846164, 0.8344035167367694, 0.8271578380645973, 0.8222457302573711, 0.8162232637820397]"
