method,metric_impl,pnr_at_10_t0_05,pnr_at_10_t0_10,pnr_at_10_t0_15,pnr_at_1_t0_05,pnr_at_1_t0_10,pnr_at_1_t0_15,pnr_at_5_t0_05,pnr_at_5_t0_10,pnr_at_5_t0_15,query_idx,query_name,skip_reason,status,top1_acc_at_0_1,top1_cosine,top1_legacy_module_jaccard,top1_module,top1_name,top1_norm_l2,top1_recall,top1_switch_accuracy,top1_switch_f1,top1_switch_precision,top1_switch_recall,topk_names,topk_scores
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,255,Thrashcore Fast,,ok,0.6792452830188679,0.7684379604898514,0.3333333333333333,0.3333333333333333,Jazz Fusion Complex,0.25173243295127673,0.48,0.5555555555555556,0.5,0.6666666666666666,0.4,"[""Jazz Fusion Complex"", ""Drum and Bass Cyber"", ""Hyperpop Glitch Synth"", ""Future Bass Sparkle"", ""Punk Ska"", ""Soul Clap Groove"", ""VHS Glitch"", ""Footwork Jungle"", ""Synthwave Sunset"", ""Talk Box Funk""]","[0.9179669710970755, 0.9131312411257051, 0.9105654509879975, 0.9090526719702459, 0.9088082554107388, 0.9049574417783623, 0.9014094341692903, 0.9004123622800411, 0.8998621242678542, 0.8969175275818972]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,1,1,1,1,1,975,Nashville Session Outlaw,,ok,0.8717948717948718,0.987557392720779,1.0,1.0,Motown Soul Smooth,0.06633057543108782,0.7916666666666666,1.0,1.0,1.0,1.0,"[""Motown Soul Smooth"", ""Flamenco Spanish Voyage"", ""Afrobeat Guitar Sahara"", ""Chicago Soul Gospel"", ""Gypsy Jazz Manouche Crescendo"", ""Mexican Mariachi"", ""Acid Jazz Funk Nocturne"", ""Afrobeat Guitar Tropical"", ""Philadelphia Soul Gospel"", ""Free Jazz Avantgarde Smoky""]","[0.9171237271794307, 0.9127402243683098, 0.9121214092520673, 0.9078592974627341, 0.9067940611390326, 0.9029682111660347, 0.8990758785299573, 0.8923368311775597, 0.8914734011416907, 0.8912764760121021]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,0,0,0,0,1,502,Stadium Anthem,,ok,0.6140350877192983,0.7847219281549984,0.4444444444444444,0.4444444444444444,Mandolin Folk,0.2453562756200507,0.4166666666666667,0.4444444444444444,0.6153846153846153,1.0,0.4444444444444444,"[""Mandolin Folk"", ""Overtone Drone Drift"", ""Pastoral Folk"", ""Hollow Body Jazz"", ""Old Time Radio"", ""Arabic Maqam Fusion"", ""Modal Jazz"", ""Romanian Folk"", ""Microtonal Fusion Aether"", ""Latin Jazz Vibe""]","[0.8804216545821496, 0.8360009331402074, 0.8138003419252658, 0.8116901593844578, 0.8043325849002615, 0.8037878990406981, 0.8032567539570357, 0.8002682901368171, 0.7969799249230705, 0.7951491510250235]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,0,0,559,Celtic Folk Voyage,,ok,0.6976744186046512,0.9053366753991352,0.8,0.8,Appalachian Folk,0.16214611629266967,0.5,0.8888888888888888,0.888888888888889,1.0,0.8,"[""Appalachian Folk"", ""Microtonal Fusion Echo"", ""Mandolin Folk"", ""Country Gospel"", ""Heavy Reverb Vox"", ""Ragtime Piano"", ""Cyberpunk Synth"", ""Folk Metal Acoustic Wrath"", ""Western Swing Honky"", ""Stripped Acoustic""]","[0.9332511757783766, 0.8565814816326196, 0.8108225731143845, 0.8073293869040339, 0.8037945671150314, 0.7930718470084478, 0.7843876110599676, 0.7780508854905841, 0.7665426435102327, 0.7277336074321543]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,1,1,1,1,1,1,41,Rotary Speaker,,ok,1.0,0.9999883852843348,1.0,1.0,Rotary Speaker Fast,0.001720791166884712,1.0,1.0,1.0,1.0,1.0,"[""Rotary Speaker Fast"", ""Spanky Funk"", ""Tweed Breakup"", ""Tweed Breakup - Vintage Drive Mix"", ""Tweed Breakup - Raw Amp Pass"", ""Tweed Breakup - Grit Stack Take"", ""Tweed Breakup - Classic Crunch Edit"", ""Tweed Breakup - Hot Valve Version"", ""Tweed Breakup - Saturated Bite Cut"", ""Punk Rock Raw""]","[1.0, 0.9751031729905824, 0.9686325610198118, 0.9686325610198118, 0.9686325610198118, 0.9686325610198118, 0.9686325610198118, 0.9686325610198118, 0.9686325610198118, 0.9547296756438965]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,0,0,0,0,0,0,0,0,1085,Texas Blues Warm,,ok,0.8205128205128205,0.887280652716688,1.0,1.0,Texas Blues,0.21117754671036762,0.7586206896551724,1.0,1.0,1.0,1.0,"[""Texas Blues"", ""Octave Fuzz"", ""Jazz Box"", ""Jazz Hollowbody Warm"", ""Jazz Box - Warm Room Take"", ""Jazz Box - Open Chord Mix"", ""Jazz Box - Glass Tone Pass"", ""Jazz Box - Natural Body Edit"", ""Jazz Box - Bright Air Version"", ""Jazz Box - Round Note Cut""]","[1.0, 0.9587502701875854, 0.956355593694683, 0.956355593694683, 0.956355593694683, 0.956355593694683, 0.956355593694683, 0.956355593694683, 0.956355593694683, 0.956355593694683]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,0,0,1,1,1,153,Lo-Fi House,,ok,0.5757575757575758,0.6924040160264312,0.2222222222222222,0.2222222222222222,Bell Choir Ambient,0.30399070738380335,0.45454545454545453,0.2222222222222222,0.36363636363636365,0.25,0.6666666666666666,"[""Bell Choir Ambient"", ""Jazzy Hip Hop"", ""Skweee Synth"", ""Iranian Classical"", ""Gospel Choir"", ""Motown Soul Groove"", ""Dark Ambient Drone Aether"", ""Modal Jazz"", ""Sophisti-Pop"", ""Space Cowboy""]","[0.8712350607952591, 0.8670150007635332, 0.8622982277270819, 0.861860760507144, 0.86074913137454, 0.8590113988628945, 0.8535434220956031, 0.8512012619987988, 0.8501572143569892, 0.847931582447637]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,0,1,693,Granular Texture Static,,ok,0.5961538461538461,0.7091104015712636,0.5714285714285714,0.5714285714285714,Philadelphia Soul Smooth,0.3238516064070434,0.4642857142857143,0.6666666666666666,0.7272727272727272,0.8,0.6666666666666666,"[""Philadelphia Soul Smooth"", ""Granular Texture Flux"", ""Indian Classical Sitar Moonrise"", ""Western Swing Sunrise"", ""Experimental Folk"", ""Americana Alt Pickin"", ""Prepared Guitar Glitch"", ""Dream Pop Charm"", ""Dream Pop Indie"", ""Indian Classical Sitar Tropical""]","[0.8907908295824086, 0.885399384838848, 0.883972910560374, 0.8600763137407333, 0.8540100354095951, 0.8513412616197138, 0.8510056198140411, 0.8487065862723611, 0.8403938349573773, 0.8386200496277086]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,609,Drum and Bass Pulse,,ok,0.5,0.7612336983478467,0.6666666666666666,0.6666666666666666,Punk Ska,0.3062767074215357,0.5,0.6666666666666666,0.8,0.6666666666666666,1.0,"[""Punk Ska"", ""Drum and Bass Cyber"", ""4-on-the-Floor House"", ""Drum and Bass Beat"", ""Hyperpop Glitch Synth"", ""Indie Pop Jangle Sparkle"", ""Gypsy Jazz"", ""Mathcore Dissonant Mayhem"", ""Country Telecaster Frontier"", ""Footwork Jungle""]","[0.9299662214788283, 0.9196595487549346, 0.916784998563431, 0.9153338876216426, 0.9140914301314116, 0.9111982331125724, 0.9033850252896498, 0.9028040730937188, 0.9020430861490598, 0.8980052640328647]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,0,0,1,1,1,172,Nordic Folk,,ok,0.543859649122807,0.7380361681384094,0.4444444444444444,0.4444444444444444,Hawaiian Ukulele,0.2963750072696129,0.4583333333333333,0.4444444444444444,0.6153846153846153,0.4444444444444444,1.0,"[""Hawaiian Ukulele"", ""Romanian Folk"", ""Hungarian Folk"", ""Folktronica"", ""Impressionist Piano"", ""Psychedelic Folk"", ""Arabic Maqam Fusion"", ""Gypsy Jazz Manouche Velvet"", ""Serbian Turbofolk"", ""Skweee Synth""]","[0.9172200717472627, 0.9151389507985308, 0.902562194251908, 0.8894936348344373, 0.8872125785162197, 0.886999574195426, 0.8836747478562326, 0.8788794909793162, 0.8772044797337976, 0.8742400317515755]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,0,0,0,1,1,1,754,Post-Metal Swell Rage,,ok,0.74,0.7586135341893678,0.4,0.4,Irish Reel,0.2566401567266726,0.65,0.6666666666666666,0.5714285714285715,0.5,0.6666666666666666,"[""Irish Reel"", ""Celtic Folk Andean"", ""Slavic Folk Metal"", ""Electroclash"", ""Power Metal Epic Wrath"", ""Baroque Pop"", ""Paisley Underground"", ""Overdrive Crunch"", ""Dubstep Wobble Digital"", ""Western Swing Honky""]","[0.8291475927772395, 0.813524686705528, 0.8111828122200788, 0.7951938927137847, 0.7891346963118153, 0.7879282687174861, 0.7762148740511071, 0.7709778399339705, 0.7685769827952611, 0.7574946897994086]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,56,90s Alt Rock Clean,,ok,0.65,0.7736966008008239,0.3333333333333333,0.3333333333333333,Synthwave Sunset,0.2540565157227192,0.7272727272727273,0.3333333333333333,0.5,0.3333333333333333,1.0,"[""Synthwave Sunset"", ""Serbian Turbofolk"", ""Shoegaze Wall Glitch"", ""Gypsy Jazz Manouche Nocturne"", ""Americana Alt Rambler"", ""Gypsy Jazz Manouche Improv"", ""Sierreño Accordion"", ""K-Pop Shimmer Andean"", ""Contemporary Jazz Crescendo"", ""Gypsy Jazz Manouche Vibe""]","[0.9115331046576807, 0.8985054437446102, 0.8963722085222291, 0.889172052754724, 0.8882317742331028, 0.8847596747116673, 0.8782084864074171, 0.8760001075603949, 0.8755288110248073, 0.8750160785890946]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,1,1,1,1,1,1,1082,Lo-Fi Hip Hop Chill,,ok,1.0,0.9999903813519565,1.0,1.0,Lo-Fi Hip Hop,0.001477031599335727,1.0,1.0,1.0,1.0,1.0,"[""Lo-Fi Hip Hop"", ""Lo-Fi Hip Hop - Alt Take"", ""Lo-Fi Hip Hop - Studio Mix"", ""Lo-Fi Hip Hop - Signature Version"", ""Lo-Fi Hip Hop - Night Drive Cut"", ""Lo-Fi Hip Hop - Session Pass"", ""Lo-Fi Hip Hop - Extended Edit"", ""Neo-Soul Clean"", ""Neo-Soul Clean Rhythm"", ""Neo-Soul Clean - Pocket Groove Cut""]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 0.9999999999999998, 0.9823946375228272, 0.9823946375228272, 0.9823946375228272]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,1,0,1,1,60,Analog Synth Pad,,ok,0.7692307692307693,0.9723419124906577,1.0,1.0,Arabic Maqam Fusion,0.11102331583144293,0.7352941176470589,1.0,1.0,1.0,1.0,"[""Arabic Maqam Fusion"", ""Tokyo Ambient"", ""Tango Dramatic"", ""Tangerine Dream Style"", ""Hawaiian Slack Key"", ""Japanese Enka Sunset"", ""Banjo Bluegrass"", ""Impressionist Piano"", ""Lo-Fi Bedroom Pop Shimmer"", ""Native American Flute""]","[0.8828817248138718, 0.858673328503865, 0.8508592609782697, 0.850131416610497, 0.8300849385114661, 0.827682870658974, 0.8258932224492935, 0.8210737570134442, 0.8140723311890029, 0.8130066978627855]"
Wav2Vec,protocol_ab_unified_evaluator_v1,1,1,1,1,1,1,1,1,1,116,Fidget House,,ok,1.0,0.9996625770357596,1.0,1.0,Hindi Pop,0.012329268544675252,1.0,1.0,1.0,1.0,1.0,"[""Hindi Pop"", ""2-Step Garage"", ""Merseybeat Jangle"", ""Cool Jazz Groove"", ""Tech House Groove"", ""Neo-Soul Keys"", ""Talk Box Funk"", ""Reggae Dubplate"", ""Samba Funk"", ""Motown Groove""]","[0.9232617198940422, 0.9231225128797726, 0.9183753966759622, 0.9147408564935217, 0.914072334176716, 0.9134724562633606, 0.9106571178222331, 0.9088551426568272, 0.9060886453052606, 0.9050689749500626]"
Wav2Vec,protocol_ab_unified_evaluator_v1,0,1,1,0,0,0,0,1,1,938,Modern R&B Sweet,,ok,0.5471698113207547,0.7417917184566182,0.5555555555555556,0.5555555555555556,Shamanic Drum,0.30496629376340045,0.5384615384615384,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,"[""Shamanic Drum"", ""Reggae Skank Voyage"", ""Dark Ambient Drone Prism"", ""Funeral Doom Venom"", ""Chillhop Downtempo"", ""Yoruba Praise"", ""West Coast Hip Hop"", ""Deep Dub"", ""Nigerian Afrobeat"", ""Analog Warm Bass""]","[0.8941246303701602, 0.8851588734060669, 0.873769283534511, 0.857999639371008, 0.8496771666582883, 0.842551238249643, 0.8360662696751076, 0.8160792402177516, 0.813117429533975, 0.811078903100555]"
