acc_at_0_1,cosine,edit_cost,effective_k,k,legacy_module_jaccard,method,metric_impl,module,norm_l2,provenance_effective_exemplars,provenance_entropy_norm,provenance_max_weight,query_idx,query_name,recall,skip_reason,source_method,status,switch_accuracy,switch_f1,switch_precision,switch_recall,temperature,topk_names,topk_scores,weights
0.9487179487179487,0.9951534421722801,0.7663995006,5,5,1.0,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,1.0,0.03773328457668132,4.9797029629,0.998747769,0.2208067061,934,Memphis Soul Memphis,0.9166666666666666,,Wav2Vec,ok,1.0,1.0,1.0,1.0,0.05,"[""Memphis Soul Motown"", ""Bluegrass Flatpick Honky"", ""Indie Pop Jangle Charm"", ""Indie Pop Jangle Sparkle"", ""Dream Pop Sparkle""]","[0.9421517893560688, 0.9392350108505216, 0.9358653406942811, 0.9343909226550469, 0.9338745393319824]","[0.2208067061269388, 0.2082943275507303, 0.19471923736473695, 0.18906112053845134, 0.18711860841914274]"
0.75,0.9699193079495462,3.5838038576,5,5,0.8333333333333334,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,0.8333333333333334,0.09027483568368193,4.2921226296,0.9531933592,0.3481298996,853,Acid Jazz Funk Crescendo,0.6666666666666666,,Wav2Vec,ok,0.8888888888888888,0.9090909090909091,0.8333333333333334,1.0,0.05,"[""Dream Pop Sparkle"", ""Schlager Pop"", ""Persian Classical Fusion"", ""Contemporary Jazz Smoky"", ""Hyperpop Glitch Synth""]","[0.9254934166343719, 0.9041824784353758, 0.8821527060902581, 0.8798508896944468, 0.8794094925392772]","[0.3481298995792844, 0.22731959181754952, 0.14631494763027617, 0.13973183842392575, 0.13850372254896418]"
0.8043478260869565,0.946072941930203,4.7315532783,5,5,0.6,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,0.6,0.10833300341790635,4.8225289797,0.9890350798,0.269550647,379,Hollow Body Jazz,0.85,,Wav2Vec,ok,0.7777777777777778,0.7499999999999999,0.6,1.0,0.05,"[""Old Time Radio"", ""Mexican Mariachi"", ""Chicago Soul Philly"", ""Chicago Soul Sweet"", ""Pastoral Folk""]","[0.8978753848350522, 0.8829988374551467, 0.8828072777125009, 0.87585772454937, 0.870949230067331]","[0.2695506470401345, 0.20018168010808193, 0.19941621234996876, 0.17353912818261, 0.15731233231920475]"
0.9230769230769231,0.9933003899155903,0.8271711038,5,5,1.0,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,1.0,0.04358522000306864,4.1276165184,0.9428094367,0.3789832116,996,Americana Alt Honky,0.875,,Wav2Vec,ok,1.0,1.0,1.0,1.0,0.05,"[""Free Jazz Avantgarde Groove"", ""Britpop Shimmer"", ""Nu Metal 7-String Wrath"", ""Trap Metal Wave"", ""Power Metal Epic Mayhem""]","[0.9204710335729476, 0.8857700288281959, 0.8788670073570779, 0.869325490671822, 0.8671713868605596]","[0.37898321164724086, 0.1893262680578696, 0.16491189858644092, 0.13626221073941666, 0.13051641096903185]"
0.5471698113207547,0.8150830407090875,10.5079338258,5,5,0.5555555555555556,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,0.5555555555555556,0.23596176047500372,4.9415270646,0.9961248198,0.2182041473,962,Bluegrass Flatpick Sunrise,0.5384615384615384,,Wav2Vec,ok,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,0.05,"[""Sierreño Accordion"", ""Polynesian Ukulele"", ""Serbian Turbofolk"", ""Jittery Synth"", ""Latin Jazz Crescendo""]","[0.8928222044064684, 0.8911874158392833, 0.891031695108788, 0.8890703759664271, 0.8765701996629253]","[0.21820414726478046, 0.21118516514780286, 0.21052847012516254, 0.20243007355438122, 0.15765214390787297]"
0.9230769230769231,0.9913111445587725,1.2322914818,5,5,1.0,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,1.0,0.06205235292195937,3.4713689788,0.8845480866,0.4581482781,122,Futurebass Vocal Chop,0.9117647058823529,,Wav2Vec,ok,1.0,1.0,1.0,1.0,0.05,"[""Hip Hop Scratch"", ""Classic House"", ""Hip House"", ""Futuristic R&B"", ""Rhodes Soul""]","[0.8603521234036304, 0.8162593485080413, 0.7982310604797174, 0.7958333544061285, 0.7810742571195366]","[0.4581482781315094, 0.1896797995895146, 0.13226025689838078, 0.1260675031962268, 0.09384416218436857]"
0.9743589743589743,0.99637203127712,0.7085660593,5,5,1.0,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,1.0,0.03514671473151141,4.9670927063,0.9980095515,0.2317470445,991,Western Swing Outlaw,0.9583333333333334,,Wav2Vec,ok,1.0,1.0,1.0,1.0,0.05,"[""Britpop Charm"", ""K-Pop Shimmer Andean"", ""Bluegrass Flatpick Twang"", ""Motown Soul Soulful"", ""Chamber Pop Hazy""]","[0.9015758660674569, 0.8937676812140769, 0.8924364170654855, 0.891382032470327, 0.8911091265794203]","[0.23174704453122716, 0.19824085968635605, 0.1930322882401395, 0.18900430254525502, 0.18797550499702229]"
0.7692307692307693,0.9591073656735343,2.4328932914,5,5,1.0,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,1.0,0.11040727471468587,4.7602806962,0.9844685181,0.2623420732,850,Acid Jazz Funk Smoky,0.6666666666666666,,Wav2Vec,ok,1.0,1.0,1.0,1.0,0.05,"[""West Coast Hip Hop"", ""Island Reggae"", ""Fender Rhodes Jazz"", ""Hyperpop Glitch Neon"", ""Complex Jazz Fusion Vibe""]","[0.8851723506829181, 0.8812016362188397, 0.8675430927122262, 0.8620251043322396, 0.8558107613557895]","[0.2623420731529443, 0.2423141405060902, 0.18439203489633363, 0.1651252617302679, 0.14582648971436415]"
0.6607142857142857,0.7877915263195738,10.8628820945,5,5,0.42857142857142855,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,0.42857142857142855,0.23926180644232506,3.5571990931,0.8694674875,0.4039295153,620,Dubstep Wobble Digital,0.41379310344827586,,Wav2Vec,ok,0.5555555555555556,0.6,0.75,0.5,0.05,"[""Tibetan Singing Bowl"", ""Deathcore Breakdown Mayhem"", ""Post-Metal Swell Rage"", ""Irish Reel"", ""Digital Hardcore""]","[0.8047397886785665, 0.7835813163574805, 0.7685769827952613, 0.724714156541669, 0.704150215179558]","[0.40392951530707066, 0.26456076208814605, 0.19597444694706317, 0.08151016634854741, 0.05402510930917267]"
0.660377358490566,0.8626192671699623,8.4937479425,5,5,0.5555555555555556,EPR-K5,epr_rcpp_softmax_topk_observed_kb_range,0.5555555555555556,0.1981345165467452,3.714375038,0.9107479717,0.4334327772,987,Western Swing Dusty,0.6923076923076923,,Wav2Vec,ok,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,0.05,"[""Desert Rock Fuzz"", ""Motown Soul Soulful"", ""Bluegrass Flatpick Dusty"", ""Indie Pop Jangle Dream"", ""Teen Pop Bubble""]","[0.9039157995556651, 0.8561127867474729, 0.848158372316816, 0.846677470060633, 0.8396555194620681]","[0.4334327772003472, 0.16661344989499957, 0.14210811903310083, 0.13796087416304112, 0.11988477970851134]"
