query_idx,query_name,method,retrieved_name,l2,acc@0.1,recall,cosine,module,missing
1,Dreamy Shoegaze,Text-RAG,Ambient Swells Ethereal,0.1019475866414943,0.8571428571428571,0.7,0.9770977406622757,1.0,0
1,Dreamy Shoegaze,Wav2Vec-RAG,Dreamy Shoegaze Ethereal,0.05232905098950498,0.896551724137931,0.7,0.9901062166619148,0.8,0
1,Dreamy Shoegaze,FeatureNN-RAG,Dreamy Shoegaze Ethereal,0.05232905098950498,0.896551724137931,0.7,0.9901062166619148,0.8,0
1,Dreamy Shoegaze,TRR,Dreamy Shoegaze Ethereal,0.05232905098950498,0.896551724137931,0.7,0.9901062166619148,0.8,0
2,Neo-Soul Clean,Text-RAG,Neo-Soul Clean Rhythm,0.1007969845877775,0.7619047619047619,0.7272727272727273,0.9753516984345993,1.0,0
2,Neo-Soul Clean,Wav2Vec-RAG,Neo-Soul Clean Rhythm,0.1007969845877775,0.7619047619047619,0.7272727272727273,0.9753516984345993,1.0,0
2,Neo-Soul Clean,FeatureNN-RAG,Neo-Soul Clean Rhythm,0.1007969845877775,0.7619047619047619,0.7272727272727273,0.9753516984345993,1.0,0
2,Neo-Soul Clean,TRR,Neo-Soul Clean Rhythm,0.1007969845877775,0.7619047619047619,0.7272727272727273,0.9753516984345993,1.0,0
3,80s Pop Clean,Text-RAG,80s Pop Clean Studio,0.4943716677089549,0.6666666666666666,0.9090909090909091,0.8213143822972137,1.0,0
3,80s Pop Clean,Wav2Vec-RAG,80s Pop Clean Studio,0.4943716677089549,0.6666666666666666,0.9090909090909091,0.8213143822972137,1.0,0
3,80s Pop Clean,FeatureNN-RAG,80s Pop Clean Studio,0.4943716677089549,0.6666666666666666,0.9090909090909091,0.8213143822972137,1.0,0
3,80s Pop Clean,TRR,80s Pop Clean Studio,0.4943716677089549,0.6666666666666666,0.9090909090909091,0.8213143822972137,1.0,0
4,Ambient Swells,Text-RAG,Ambient Swells Ethereal,0.10533465269066596,0.8095238095238095,0.7,0.9743572033014303,1.0,0
4,Ambient Swells,Wav2Vec-RAG,Ambient Swells Ethereal,0.10533465269066596,0.8095238095238095,0.7,0.9743572033014303,1.0,0
4,Ambient Swells,FeatureNN-RAG,Ambient Swells Ethereal,0.10533465269066596,0.8095238095238095,0.7,0.9743572033014303,1.0,0
4,Ambient Swells,TRR,Ambient Swells Ethereal,0.10533465269066596,0.8095238095238095,0.7,0.9743572033014303,1.0,0
5,Jazz Box,Text-RAG,Jazz Hollowbody Warm,0.5655853583519914,0.2857142857142857,0.1,0.3488699310872257,1.0,0
5,Jazz Box,Wav2Vec-RAG,Jazz Hollowbody Warm,0.5655853583519914,0.2857142857142857,0.1,0.3488699310872257,1.0,0
5,Jazz Box,FeatureNN-RAG,Jazz Hollowbody Warm,0.5655853583519914,0.2857142857142857,0.1,0.3488699310872257,1.0,0
5,Jazz Box,TRR,Jazz Hollowbody Warm,0.5655853583519914,0.2857142857142857,0.1,0.3488699310872257,1.0,0
6,Acoustic Sim,Text-RAG,Studio Clean,0.02150555852841417,1.0,1.0,0.9989204758298212,1.0,0
